FID,OBJECTID_1,OBJECTID,LASTUPDATE,NewPlantin,COMMON1,COMMON2,SCINAME1,SCINAME2,DBH_1,DBH_2,TOTALHT1,TOTALHT2,IsSITTABLE,IsDANGER,COMMENTS,LAT,LONG
0,1,332,2018-02-12,0,Flowering Dogwood, ,Cornus florida, ,4,5,19,23,1,0, ,3758650,280846
1,2,335,2018-02-16,0,Flowering Dogwood, ,Cornus florida, ,3,5,13,18,1,0, ,3758660,280810
2,3,349,2018-04-16,0,Tulip Poplar, ,Liriodendron tulipifera, ,3,4,18,21,1,0, ,3758310,280430
3,4,351,2018-04-13,-99,Tulip Poplar, ,Liriodendron tulipifera, ,4,0,23,0,1,0, ,3758310,280421
4,5,361,2018-02-12,0,Overcup Oak, ,Quercus lyrata, ,27,28,57,66,1,0, ,3758660,280830
5,6,364,2018-02-12,-99,Flowering Dogwood, ,Cornus florida, ,4,0,21,0,1,0, ,3758660,280850
6,7,369,2018-02-16,0,Flowering Dogwood, ,Cornus florida, ,1,2,8,13,1,0, ,3758660,280802
7,8,925,2018-04-13,-99,Tulip Poplar, ,Liriodendron tulipifera, ,4,0,22,0,1,0, ,3758300,280418
8,9,932,2018-04-16,0,Tulip Poplar, ,Liriodendron tulipifera, ,2,3,13,19,1,0, ,3758320,280432
9,10,933,2018-04-13,0,Tulip Poplar, ,Liriodendron tulipifera, ,3,3,15,15,1,0, ,3758320,280424
10,11,937,2018-04-13,0,Tulip Poplar, ,Liriodendron tulipifera, ,3,3,21,21,1,0, ,3758320,280426
11,12,938,2018-04-16,0,Tulip Poplar, ,Liriodendron tulipifera, ,3,4,18,21,1,0, ,3758320,280436
12,13,940,2018-04-13,0,Tulip Poplar, ,Liriodendron tulipifera, ,3,3,20,20,1,0, ,3758330,280429
13,14,941,2018-04-16,0,Tulip Poplar, ,Liriodendron tulipifera, ,1,3,14,18,1,0, ,3758330,280438
14,15,944,2018-04-13,0,Tulip Poplar, ,Liriodendron tulipifera, ,3,3,18,18,1,0, ,3758340,280431
15,16,945,2018-04-16,0,Tulip Poplar, ,Liriodendron tulipifera, ,2,3,14,19,1,0, ,3758340,280440
16,17,947,2018-04-13,0,Tulip Poplar, ,Liriodendron tulipifera, ,3,3,18,18,1,0, ,3758350,280434
17,18,948,2018-04-16,0,Tulip Poplar, ,Liriodendron tulipifera, ,2,3,15,18,1,0, ,3758350,280444
18,19,949,2018-04-13,0,Tulip Poplar, ,Liriodendron tulipifera, ,4,4,22,22,1,0, ,3758360,280438
19,20,950,2018-04-16,0,Tulip Poplar, ,Liriodendron tulipifera, ,3,4,18,22,1,0, ,3758360,280448
20,21,952,2018-04-13,-99,Tulip Poplar, ,Liriodendron tulipifera, ,5,0,24,0,1,0, ,3758370,280441
21,22,953,2018-04-16,0,Tulip Poplar, ,Liriodendron tulipifera, ,4,4,21,22,1,0, ,3758370,280451
22,23,991,2018-02-12,0,Water Oak, ,Quercus nigra, ,45,48,73,81,1,0, ,3758830,280756
23,24,992,2018-02-16,0,American Hornbeam, ,Carpinus carolina, ,8,10,32,37,1,0, ,3758830,280731
24,25,998,2018-02-09,0,Overcup Oak, ,Quercus lyrata, ,30,30,74,76,1,0, ,3758830,280796
25,26,1002,2018-02-16,0,American Hornbeam, ,Carpinus carolina, ,6,9,32,37,1,0, ,3758830,280731
26,27,1005,2018-02-16,0,Ginkgo, ,Ginkgo biloba, ,8,10,30,33,1,0, ,3758840,280707
27,28,1013,2018-02-16,0,American Hornbeam, ,Carpinus carolina, ,5,8,24,31,1,0, ,3758840,280731
28,29,1017,2018-02-09,0,Willow Oak, ,Quercus phellos, ,28,31,77,86,1,0, ,3758840,280797
29,30,1019,2018-02-12,-99,Water Oak, ,Quercus nigra, ,31,0,77,0,1,0, ,3758840,280766
30,31,1198,2018-02-12,0,Overcup Oak, ,Quercus lyrata, ,21,22,41,43,1,0, ,3758650,280822
31,32,1199,2018-02-12,0,Overcup Oak, ,Quercus lyrata, ,21,22,58,64,1,0, ,3758650,280842
32,33,1200,2018-02-12,0,White Pine, ,Pinus strobus, ,22,23,76,85,1,0, ,3758730,280824
33,34,1201,2018-02-12,0,Water Oak, ,Quercus nigra, ,39,37,69,80,1,0,Decreased DBH,3758730,280811
34,35,1202,2018-02-16,0,River Birch, ,Betula nigra, ,4,9,24,38,1,0, ,3758740,280746
35,36,1203,2018-02-12,0,Overcup Oak, ,Quercus lyrata, ,31,31,78,85,1,0, ,3758740,280832
36,37,1205,2018-02-16,0,Sugar Maple, ,Acer saccharum, ,3,4,16,21,1,0, ,3758740,280705
37,38,1206,2018-02-16,0,River Birch, ,Betula nigra, ,5,7,28,32,1,0, ,3758740,280753
38,39,1207,2018-02-16,0,Willow Oak, ,Quercus phellos, ,23,25,55,58,1,0, ,3758740,280728
39,40,1208,2018-02-12,0,Water Oak, ,Quercus nigra, ,31,33,86,89,1,0, ,3758740,280818
40,41,1210,2018-02-16,0,American Hornbeam, ,Carpinus carolina, ,3,5,21,35,1,0, ,3758750,280732
41,42,1212,2018-02-12,0,Water Oak, ,Quercus nigra, ,27,28,82,85,1,0, ,3758750,280812
42,43,1213,2018-02-16,0,Sugar Maple, ,Acer saccharum, ,4,6,18,26,1,0, ,3758750,280706
43,44,1214,2018-02-16,0,Willow Oak, ,Quercus phellos, ,27,32,67,75,1,0, ,3758750,280728
44,45,1215,2018-02-16,0,American Hornbeam, ,Carpinus carolina, ,3,3,22,25,1,0, ,3758750,280733
45,46,1217,2018-02-12,0,Overcup Oak, ,Quercus lyrata, ,29,30,82,85,1,0, ,3758750,280812
46,47,1219,2018-02-16,0,American Hornbeam, ,Carpinus carolina, ,2,7,36,42,1,0, ,3758760,280733
47,48,1220,2018-02-12,0,Silver Maple, ,Acer saccharinum, ,11,13,48,55,1,0, ,3758760,280762
48,49,1221,2018-02-12,0,Southern Magnolia, ,Magnolia grandiflora, ,22,26,56,61,1,0, ,3758760,280793
49,50,1222,2018-02-12,0,Loblolly Pine, ,Pinus taeda, ,24,32,63,72,1,0, ,3758720,280839
50,51,1223,2018-02-12,0,Loblolly Pine, ,Pinus taeda, ,26,33,80,83,1,0, ,3758760,280829
51,52,1224,2018-02-16,0,Tulip Poplar, ,Liriodendron tulipifera, ,14,28,62,70,1,0, ,3758760,280723
52,53,1225,2018-02-12,0,Overcup Oak, ,Quercus lyrata, ,37,39,89,90,1,0, ,3758760,280816
53,54,1226,2018-02-16,0,American Hornbeam, ,Carpinus carolina, ,5,8,35,39,1,0, ,3758770,280733
54,55,1229,2018-02-12,0,Flowering Dogwood, ,Cornus florida, ,5,12,30,36,1,0, ,3758770,280823
55,56,1236,2018-02-12,0,Silver Maple, ,Acer saccharinum, ,12,21,45,49,1,0, ,3758770,280765
56,57,1240,2018-02-16,0,Tulip Poplar, ,Liriodendron tulipifera, ,18,22,55,58,1,0, ,3758780,280718
57,58,1241,2018-02-12,0,Southern Magnolia, ,Magnolia grandiflora, ,21,25,56,63,1,0, ,3758780,280776
58,59,1246,2018-02-16,0,Red Maple, ,Acer rubrum, ,9,14,24,35,1,0, ,3758790,280707
59,60,1247,2018-02-09,0,Overcup Oak, ,Quercus lyrata, ,39,41,85,87,1,0, ,3758790,280813
60,61,1249,2018-02-09,0,Overcup Oak, ,Quercus lyrata, ,29,32,78,81,1,0, ,3758790,280802
