"city_ID","most_recent_observation","most_recent_observation_type","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","native","greater_metro","tree_ID","planted_date","retired_date","common_name","location_type","zipcode","neighborhood","location_name","ward","district","overhead_utility","diameter_breast_height_CM","condition","height_M","height_binned_M","diameter_breast_height_binned_CM","percent_population"
56,1995,"inventory_date","Cercis canadensis","Atlanta","Georgia",-84.364212,33.781598,"Virginia Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1995,"inventory_date","Cornus florida","Atlanta","Georgia",-84.364123,33.781604,"Virginia Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1995,"inventory_date","Cornus florida","Atlanta","Georgia",-84.364015,33.781615,"Virginia Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1995,"inventory_date","Cercis canadensis","Atlanta","Georgia",-84.363899,33.781627,"Virginia Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1995,"inventory_date","Cornus florida","Atlanta","Georgia",-84.36377,33.781638,"Virginia Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.360974,33.781847,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.360906,33.781853,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.360836,33.781854,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.360772,33.781864,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.360701,33.781868,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.360607,33.781878,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.360524,33.78188,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.360447,33.781886,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.360386,33.781893,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.36033,33.781894,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.360071,33.781917,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.361232,33.781829,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.361182,33.781836,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.361129,33.78184,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.361088,33.781841,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.361038,33.781844,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.360034,33.781922,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.359999,33.781923,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.359959,33.781928,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.359919,33.78193,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.359875,33.781931,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.359822,33.781936,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.359775,33.781937,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.35972,33.781939,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.359664,33.781944,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.359608,33.781945,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.359558,33.78195,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,1995,"inventory_date","Lagerstroemia","Atlanta","Georgia",-84.359504,33.781954,"Virginia Ave","no_info","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,1995,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.359378,33.782041,"Virginia Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1995,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.35931,33.782037,"Virginia Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,1995,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.359247,33.782042,"Virginia Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,1995,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.361852,33.781917,"Virginia Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,1995,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.361658,33.781939,"Virginia Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,1995,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.360954,33.781987,"Virginia Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,1995,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.361321,33.78197,"Virginia Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,1995,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.360761,33.782007,"Virginia Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,1995,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.36042,33.782027,"Virginia Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1995,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.360026,33.782057,"Virginia Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,1995,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.359669,33.782086,"Virginia Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,1995,"inventory_date","Acer rubrum","Atlanta","Georgia",-84.364232,33.781521,"Virginia Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,1995,"inventory_date","Acer rubrum","Atlanta","Georgia",-84.364141,33.781525,"Virginia Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,1995,"inventory_date","Acer rubrum","Atlanta","Georgia",-84.364039,33.78154,"Virginia Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,1995,"inventory_date","Acer rubrum","Atlanta","Georgia",-84.363942,33.781548,"Virginia Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,1995,"inventory_date","Acer rubrum","Atlanta","Georgia",-84.363841,33.78156,"Virginia Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,1995,"inventory_date","Acer rubrum","Atlanta","Georgia",-84.363744,33.781575,"Virginia Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,1996,"inventory_date","Acer saccharinum","Atlanta","Georgia",-84.346986,33.769079,"Moreland Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,1996,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.347654,33.77,"Moreland Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,1996,"inventory_date","Acer rubrum","Atlanta","Georgia",-84.348443,33.770363,"Moreland Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,1996,"inventory_date","Quercus shumardii","Atlanta","Georgia",-84.348886,33.770407,"Moreland Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,1996,"inventory_date","Acer rubrum","Atlanta","Georgia",-84.348918,33.770521,"Moreland Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,1996,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.34875,33.770515,"Moreland Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,1996,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.348953,33.7707,"Moreland Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,1996,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.348817,33.770593,"Moreland Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,1996,"inventory_date","Cercis canadensis","Atlanta","Georgia",-84.348821,33.770657,"Moreland Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,1996,"inventory_date","Cercis canadensis","Atlanta","Georgia",-84.348821,33.770719,"Moreland Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,1996,"inventory_date","Quercus falcata","Atlanta","Georgia",-84.348829,33.770791,"Moreland Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,1996,"inventory_date","Amelanchier arborea","Atlanta","Georgia",-84.348739,33.770625,"Moreland Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,1996,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.348704,33.770658,"Moreland Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,1996,"inventory_date","Cercis canadensis","Atlanta","Georgia",-84.348731,33.770749,"Moreland Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,1996,"inventory_date","Quercus shumardii","Atlanta","Georgia",-84.348914,33.770885,"Moreland Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,1996,"inventory_date","Quercus palustris","Atlanta","Georgia",-84.348701,33.770924,"Moreland Ave","introduced","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,1996,"inventory_date","Acer rubrum","Atlanta","Georgia",-84.348241,33.770486,"Moreland Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,1996,"inventory_date","Acer rubrum","Atlanta","Georgia",-84.348923,33.771047,"Moreland Ave","naturally_occurring","Atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
